linux-headers 5.13.8.arch1-1
lokalize 21.04.3-1
lrzsz 0.12.20-7
lshw B.02.19.2-2
lskat 21.04.3-1
lsscsi 0.32-1
luit 20201003-1
m4 1.4.19-1
make 4.3-3
marble 21.04.3-1
markdownpart 21.04.3-1
mate-sensors-applet 1.24.1-1
mbox-importer 21.04.3-1
milou 5.22.4-1
minuet 21.04.3-2
mousepad 0.5.6-1
mtools 1:4.0.34-1
mtr 0.94-1
neofetch 7.1.0-2
neovim 0.5.0-1
net-tools 2.10-1
netctl 1.25-1
netease-cloud-music 1.2.1-1
nmap 7.91-1
noto-fonts-emoji 20210625-1
noto-fonts-extra 20201226-2
ntfs-3g 2017.3.23-5
numix-circle-icon-theme-git 0.r62.8b749c0-1
numlockx 1.2-5
okular 21.04.3-2
openvpn 2.5.3-1
opera 78.0.4093.112-1
os-prober 1.79-1
oxygen 5.22.4-1
pacman 6.0.0-5
palapeli 21.04.3-1
parley 21.04.3-1
parole 4.16.0-1
partitionmanager 21.04.3-1
patch 2.7.6-8
pavucontrol 1:4.0-2
picmi 21.04.3-1
pim-data-exporter 21.04.3-1
pim-sieve-editor 21.04.3-1
pkgconf 1.7.3-1
plasma-browser-integration 5.22.4-1
plasma-desktop 5.22.4-1
plasma-integration 5.22.4-1
plasma-nm 5.22.4-1
plasma-pa 5.22.4-1
plasma-sdk 5.22.4-1
plasma-thunderbolt 5.22.4-1
plasma-vault 5.22.4-1
plasma-workspace 5.22.4-2
plasma-workspace-wallpapers 5.22.4-1
polkit-kde-agent 5.22.4-1
powerdevil 5.22.4-1
poxml 21.04.3-1
print-manager 21.04.3-1
pulseaudio-alsa 1:1.2.5-2
pulseaudio-bluetooth 15.0-1
python-pip 20.3.4-1
python2 2.7.18-3
qemu 6.0.0-3
qqmusic-bin 1.1.0-3
qtscrcpy 1.7.1-1
ranger 1.9.3-3
remmina 1:1.4.20-1
rime-cloverpinyin 1.1.4-2
ristretto 0.11.0-1
rocket-depot-git r318.849654d-1
rocs 21.04.3-1
scrcpy 1.18-1
sddm 0.19.0-6
sddm-kcm 5.22.4-1
sed 4.8-1
signon-kwallet-extension 21.04.3-1
sl 5.02-6
spacman 1.0.5-1
spectacle 21.04.3-1
ssfconv 1.1.1-1
step 21.04.3-2
strace 5.13-1
sublime-text-3 3.3211-1
sudo 1.9.7.p2-1
svgpart 21.04.3-1
sweeper 21.04.3-1
sysstat 12.5.4-1
systemsettings 5.22.4-1
tcpdump 4.99.1-1
telepathy-kde-accounts-kcm 21.04.3-1
telepathy-kde-approver 21.04.3-1
telepathy-kde-auth-handler 21.04.3-1
telepathy-kde-call-ui 21.04.3-1
telepathy-kde-common-internals 21.04.3-1
telepathy-kde-contact-list 21.04.3-1
telepathy-kde-contact-runner 21.04.3-1
telepathy-kde-desktop-applets 21.04.3-1
telepathy-kde-filetransfer-handler 21.04.3-1
telepathy-kde-integration-module 21.04.3-1
telepathy-kde-send-file 21.04.3-1
telepathy-kde-text-ui 21.04.3-1
terminus-font 4.49.1-2
texinfo 6.8-2
thefuck 3.31-1
thunar 4.16.8-1
thunar-archive-plugin 0.4.0-3
thunar-media-tags-plugin 0.3.0-2
thunar-volman 4.16.0-1
timeshift 20.11.1+4+gd437358-2
tree 1.8.0-2
ttf-dejavu 2.37+18+g9b5d1b2f-3
tumbler 4.16.0-3
umbrello 21.04.3-1
unrar 1:6.0.7-1
unzip 6.0-14
utools 1.3.5-1
variety 0.8.5-2
vi 1:070224-5
vim 8.2.2891-1
